offense_id,datetime,offense_code,offense_type_id,offense_category_id,geo_lon,geo_lat
2017238277544100,2017-04-12 18:50:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2017226348540100,2017-04-07 20:00:00,5401,traffic-accident-hit-and-run,traffic-accident,-105.0024895,39.7476542
2017236997299902,2017-04-11 08:30:00,2999,criminal-mischief-graffiti,public-disorder,-105.004669,39.745717
2017251127220500,2017-04-17 06:17:00,2205,burglary-business-no-force,burglary,-105.004669,39.745717
201681343299901,2016-02-07 01:15:00,2999,criminal-mischief-mtr-veh,public-disorder,-105.0020304,39.7456976
2017211451230800,2017-03-29 20:00:00,2308,theft-from-bldg,larceny,-105.0022825,39.7462505
2016771886544100,2016-12-03 22:45:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016771484544100,2016-12-03 18:51:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2017207429230800,2017-03-29 17:30:00,2308,theft-from-bldg,larceny,-105.004669,39.745717
2016759659410400,2016-11-28 15:40:00,4104,liquor-possession,drug-alcohol,-105.0024895,39.7476542
2016775666480300,2016-12-05 17:10:00,4803,police-false-information,all-other-crimes,-105.0024895,39.7476542
2017147380544100,2017-03-04 19:03:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2017147515544100,2017-03-04 20:04:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016764488239900,2016-11-30 09:44:00,2399,theft-other,larceny,-105.004669,39.745717
2017211778531200,2017-04-01 13:49:00,5312,disturbing-the-peace,public-disorder,-105.004669,39.745717
2016765059540100,2016-11-30 21:47:00,5401,traffic-accident-hit-and-run,traffic-accident,-105.0024895,39.7476542
2017224275351200,2017-04-07 00:19:00,3512,drug-heroin-possess,drug-alcohol,-105.0020304,39.7456976
2016761721570700,2016-11-29 13:47:00,5707,criminal-trespassing,Trespassing,-105.0022825,39.7462505
201676264230800,2016-02-05 13:00:00,2308,theft-from-bldg,larceny,-105.004669,39.745717
2016817414544100,2016-12-24 21:15:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2017230392570700,2017-04-09 13:02:00,5707,criminal-trespassing,Trespassing,-105.004669,39.745717
2017230392480300,2017-04-09 13:02:00,4803,police-false-information,all-other-crimes,-105.004669,39.745717
201733803544100,2017-01-16 15:15:00,5441,traffic-accident,traffic-accident,-105.0024895,39.7476542
2016780854131600,2016-12-08 00:56:00,1316,threats-to-injure,public-disorder,-105.004669,39.745717
2017103774230800,2017-02-06 15:50:00,2308,theft-from-bldg,larceny,-105.004669,39.745717
2017279664739902,2017-04-30 03:45:00,7399,public-order-crimes-other,all-other-crimes,-104.9621052,39.6760301
